iteration,body_id,name,mass,x,y,z,vx,vy,vz
0,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52377,2.11368,-5.18541
0,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20926,-3.3082,-5.80745
0,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95194,-3.78555,-7.52014
1,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52378,2.11367,-5.1854
1,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20926,-3.30819,-5.80747
1,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95194,-3.7856,-7.52015
2,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52386,2.11361,-5.18523
2,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20918,-3.30811,-5.80761
2,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95191,-3.78608,-7.52028
3,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52395,2.11354,-5.18507
3,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2091,-3.30803,-5.80776
3,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95189,-3.78656,-7.52041
4,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52403,2.11348,-5.18491
4,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20903,-3.30795,-5.80791
4,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95186,-3.78703,-7.52053
5,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52411,2.11342,-5.18474
5,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20895,-3.30787,-5.80806
5,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95184,-3.78751,-7.52066
6,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52419,2.11336,-5.18458
6,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20887,-3.30779,-5.80821
6,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95181,-3.78799,-7.52079
7,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52428,2.1133,-5.18442
7,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2088,-3.30772,-5.80836
7,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95179,-3.78847,-7.52092
8,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52436,2.11323,-5.18425
8,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20872,-3.30764,-5.8085
8,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95176,-3.78894,-7.52105
9,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52444,2.11317,-5.18409
9,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20864,-3.30756,-5.80865
9,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95174,-3.78942,-7.52117
10,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52452,2.11311,-5.18393
10,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20857,-3.30748,-5.8088
10,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95171,-3.7899,-7.5213
11,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52461,2.11305,-5.18376
11,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20849,-3.3074,-5.80895
11,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95169,-3.79038,-7.52143
12,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52469,2.11299,-5.1836
12,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20841,-3.30732,-5.8091
12,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95166,-3.79085,-7.52156
13,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52477,2.11292,-5.18344
